id,destination_airport,destination_airport_name,destination_city,destination_state,destination_latitude,destination_longitude,mean_departure_delay,flight_count,flight_count_delay_ratio
172,KTN,Ketchikan International Airport,Ketchikan,AK,55.35556999999999,-131.71374,4.347233360064154,2506,576.4585869765726
173,LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,42.7787,-84.58736,6.931479642502483,2072,298.92607449856735
174,LAR,Laramie Regional Airport,Laramie,WY,41.31205,-105.67499,4.420454545454546,635,143.6503856041131
175,LAS,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,9.433845092289115,145777,15452.55392407841
176,LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,34.56771,-98.41664,9.39327485380117,1454,154.79159533073928
177,LAX,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,10.439182818229439,212210,20328.219525902732
178,LBB,Lubbock Preston Smith International Airport,Lubbock,TX,33.66364,-101.82278000000001,9.410046967531141,5045,536.1290987608776
179,LBE,Arnold Palmer Regional Airport,Latrobe,PA,40.27594000000001,-79.4048,14.027818448023426,1397,99.5878300803674
180,LCH,Lake Charles Regional Airport,Lake Charles,LA,30.1261,-93.2234,5.112830753869196,2057,402.32116004296455
181,LEX,Blue Grass Airport,Lexington,KY,38.036970000000004,-84.60539,7.456728520193357,6568,880.8152237557508
182,LFT,Lafayette Regional Airport,Lafayette,LA,30.20528,-91.98765999999999,7.007500914745701,5579,796.1468814453176
183,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261,13.918817126619468,108151,7770.128669422872
184,LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,33.81772,-118.15161,7.141770547221635,9522,1333.282823501568
185,LIH,Lihue Airport,Lihue,HI,21.97598,-159.33896000000001,1.7507010164738872,11427,6527.099654637369
186,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,34.7294,-92.22425,10.223467663019305,11467,1121.6350829258106
187,LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,40.850970000000004,-96.75925,8.082635983263598,2925,361.88689012553385
188,LRD,Laredo International Airport,Laredo,TX,27.543740000000003,-99.46154,5.2414529914529915,2405,458.84223399918466
189,LSE,La Crosse Regional Airport,La Crosse,WI,43.87938,-91.25654,6.758836944127708,1812,268.0934626739772
