id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,flight_count_delay_ratio
56,CDC,Cedar City Regional Airport,Cedar City,UT,37.70097,-113.09858,0.4544,626,1377.6408450704225
57,CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,60.49183000000001,-145.47765,-1.649859943977591,724,-438.8251273344652
58,CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,41.780159999999995,-124.23653,9.583815028901734,190,19.825090470446323
59,CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,35.035270000000004,-85.20379,5.540748898678414,4619,833.6418207115881
60,CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,38.13864,-78.45286,8.504725085910653,2441,287.01692004646696
61,CHS,Charleston International Airport/Charleston AFB,Charleston,SC,32.89865,-80.04051,3.653858218318695,13024,3564.4513885908054
62,CID,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087,8.202332443445272,7364,897.7934082499658
63,CIU,Chippewa County International Airport,Sault Ste. Marie,MI,46.25075,-84.47239,8.22052067381317,670,81.50335320417288
64,CLD,McClellan-Palomar Airport,San Diego,CA,33.12723,-117.27873000000001,5.240445859872612,641,122.31783652385293
65,CLE,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494,2.625530878891985,37813,14402.039718518823
66,CLL,Easterwood Airport,College Station,TX,30.588590000000003,-96.36381999999999,2.031430934656741,2534,1247.3965798045601
67,CLT,Charlotte Douglas International Airport,Charlotte,NC,35.21400999999999,-80.94313000000002,5.479844432565941,109811,20039.07252319222
68,CMH,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188,3.098698270837381,26375,8511.63866073108
69,CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.03925,-88.27806,2.9954524783992724,2322,775.1750417488994
70,CMX,Houghton County Memorial Airport,Hancock,MI,47.16842000000001,-88.48906,4.742268041237113,730,153.93478260869566
71,CNY,Canyonlands Field,Moab,UT,38.75496,-109.75483999999999,-20.678048780487806,206,-9.962255248879451
72,COD,Yellowstone Regional Airport,Cody,WY,44.52019,-109.0238,8.146842878120411,696,85.43186733958183
73,COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.80581,-104.70025,7.22530612244898,7491,1036.7726810529884
74,COU,Columbia Regional Airport,Columbia,MO,38.81809000000001,-92.21963000000001,10.80058651026393,1431,132.492804778713
75,CPR,Natrona County International Airport,Casper,WY,42.908359999999995,-106.46446999999999,-4.617224880382775,1912,-414.1015544041451
76,CRP,Corpus Christi International Airport,Corpus Christi,TX,27.770359999999997,-97.50121999999999,6.520394088669951,5254,805.7795170892388
77,CRW,Yeager Airport,Charleston,WV,38.37315,-81.59319,10.075620322961797,2609,258.94187319208817
78,CSG,Columbus Metropolitan Airport,Columbus,GA,32.516329999999996,-84.93885999999998,4.349829351535837,1180,271.27500980776773
79,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.04614,-84.66216999999997,5.2444080486663545,21950,4185.4104021486
80,CWA,Central Wisconsin Airport,Mosinee,WI,44.77762,-89.66678,3.6088977423638777,1565,433.65041398344067
81,DAB,Daytona Beach International Airport,Daytona Beach,FL,29.17992000000001,-81.05806,-0.859190031152648,1613,-1877.3495286439447
82,DAL,Dallas Love Field,Dallas,TX,32.84711,-96.85177,7.73279907700463,65203,8432.004937758835
83,DAY,James M. Cox Dayton International Airport,Dayton,OH,39.90238,-84.21938,3.7381945969690316,9429,2522.340599294947
84,DBQ,Dubuque Regional Airport,Dubuque,IA,42.40296,-90.70917,1.0481171548117154,1015,968.4031936127745
85,DCA,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,2.755784849568371,80582,29241.034550509732
86,DEN,Denver International Airport,Denver,CO,39.85841,-104.667,6.472726325806894,213916,33048.82505955991
87,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,6.418505583001412,260161,40532.95531735658
88,DHN,Dothan Regional Airport,Dothan,AL,31.32134000000001,-85.44963,9.024246877296106,1378,152.6997231721218
89,DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.79739,-102.80195,-4.297242083758937,999,-232.47468504872833
90,DLG,Dillingham Airport,Dillingham,AK,59.04541,-158.50333999999995,-7.87012987012987,77,-9.783828382838283
91,DLH,Duluth International Airport,Duluth,MN,46.84209,-92.19365,9.45945945945946,1942,205.29714285714286
92,DRO,Durango-La Plata County Airport,Durango,CO,37.15152,-107.75376999999999,6.022789425706472,2246,372.9169063114878
93,DSM,Des Moines International Airport,Des Moines,IA,41.534929999999996,-93.66068,6.21637891867333,9095,1463.0704014325129
94,DTW,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,3.2223211229031152,118391,36740.90678254218
95,DVL,Devils Lake Regional Airport,Devils Lake,ND,48.11425,-98.90878000000001,2.2315175097276265,574,257.2240627724499
